sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,Benchmark,Config,default_cpi,speedup,L1d,L1i,L2,cacheline,L1d_assoc,L1i_assoc,L2_assoc
0.059292,1.185839,0.000702,8.7e-05,0.193947,spechmmer,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16,1.187917,1.001752345807483,128,64,4,64,2,2,16
0.059278,1.185557,0.000669,8.7e-05,0.206886,spechmmer,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4,1.187917,1.0019906255034552,128,64,4,64,4,2,16
0.059567,1.191346,0.002359,0.000221,0.054065,spechmmer,L1d_32kB,1.187917,0.9971217429697165,32,32,2,64,2,2,8
0.060575,1.211494,0.003394,0.000221,0.038446,spechmmer,L1d_assoc_1,1.187917,0.9805389048563178,64,32,2,64,1,2,8
0.059387,1.187732,0.001587,0.000215,0.080373,spechmmer,L1d_assoc_4,1.187917,1.0001557590432857,64,32,2,64,4,2,8
0.059384,1.187679,0.001629,0.000215,0.078285,spechmmer,L1d_assoc_8,1.187917,1.0002003908463482,64,32,2,64,8,2,8
0.059432,1.188644,0.001637,0.000578,0.07141,spechmmer,L1i_16kB,1.187917,0.9993883786903396,64,16,2,64,2,2,8
0.059384,1.187688,0.001638,8.7e-05,0.080478,spechmmer,L1i_64kB,1.187917,1.0001928115801455,64,64,2,64,2,2,8
0.065852,1.317035,0.001638,0.034157,0.008467,spechmmer,L1i_assoc_1,1.187917,0.9019631217089902,64,32,2,64,2,1,8
0.059389,1.187777,0.001638,0.000142,0.079268,spechmmer,L1i_assoc_4,1.187917,1.0001178672427566,64,32,2,64,2,4,8
0.059385,1.18771,0.001638,9e-05,0.080362,spechmmer,L1i_assoc_8,1.187917,1.0001742849685529,64,32,2,64,2,8,8
0.059396,1.187917,0.001637,0.000221,0.07776,spechmmer,L2_1MB,1.187917,1.0,64,32,1,64,2,2,8
0.059399,1.187974,0.001637,0.000221,0.07776,spechmmer,L2_4MB,1.187917,0.999952019151934,64,32,4,64,2,2,8
