sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,Benchmark,Config,default_cpi,speedup
0.17469,3.493799,0.060971,9.4e-05,0.999944,speclibm,L2_assoc_32,3.493415,0.9998900909869172
0.174671,3.493414,0.060972,9.4e-05,0.999944,speclibm,L2_assoc_4,3.493415,1.000000286252932
0.174671,3.493415,0.060972,9.4e-05,0.999944,speclibm,L2_assoc_64,3.493415,1.0
0.099465,1.989308,0.015244,8e-05,0.999922,speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,3.493415,1.7560955870081456
0.099465,1.989308,0.015244,8.9e-05,0.999852,speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,3.493415,1.7560955870081456
0.099465,1.989308,0.015244,8.1e-05,0.999914,speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,3.493415,1.7560955870081456
0.099465,1.989308,0.015244,8.1e-05,0.999914,speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,3.493415,1.7560955870081456
0.066527,1.330534,0.001384,0.035212,0.020416,specmcf,Cacheline_128,1.299095,0.9763711412109725
0.071726,1.434514,0.004613,0.014546,0.208407,specmcf,Cacheline_16,1.299095,0.9055993876671821
0.064922,1.298444,0.001172,0.032583,0.011487,specmcf,Cacheline_256,1.299095,1.000501369331292
0.063004,1.260085,0.003208,0.013171,0.159189,specmcf,Cacheline_32,1.299095,1.0309582290083608
0.066483,1.329652,0.00118,0.035247,0.02051,specmcf,cl_128_L1d_128kB,1.299095,0.9770187989037734
0.066601,1.332011,0.001858,0.035157,0.020204,specmcf,cl_128_L1d_32kB,1.299095,0.9752884923623003
0.066766,1.335325,0.002302,0.035155,0.019912,specmcf,cl_128_L1d_assoc_1,1.299095,0.9728680283826034
0.0665,1.329997,0.001246,0.035234,0.020478,specmcf,cl_128_L1d_assoc_4,1.299095,0.9767653611248748
0.071676,1.433521,0.001384,0.053401,0.013747,specmcf,cl_128_L1i_16kB,1.299095,0.9062266963651039
