Benchmark,Config,Cost,speedup,pcr
specbzip,L1i_64kB,1.1470588235294117,0.999865466260605,0.8716775859707839
speclibm,L1d_128kB,1.1470588235294117,0.9999977099824442,0.8717928753693104
speclibm,L1i_64kB,1.1470588235294117,1.0000020037739652,0.8717966186747389
specsjeng,L1d_128kB,1.1470588235294117,1.0000033104458197,0.8717977578245608
specsjeng,L1i_64kB,1.1470588235294117,1.000007107748897,0.8718010682939102
spechmmer,L1i_64kB,1.1470588235294117,1.0001928115801455,0.8719629639416654
specmcf,L1d_128kB,1.1470588235294117,1.0004374187059646,0.8721762111795589
spechmmer,cl_256_L1i_assoc_1,1.0588235294117647,0.9241225279162069,0.8727823874764176
spechmmer,L1d_128kB,1.1470588235294117,1.0013250782866703,0.8729500682499177
specmcf,cl_128_L2_4MB,1.1176470588235294,0.9766853168093371,0.8738763360925648
spechmmer,cl_256_L2_1MB,1.1470588235294117,1.0068253629231843,0.8777451881894427
specmcf,cl_256_L1i_64kB,1.3235294117647058,1.1697098809396254,0.8837807989321614
specmcf,L1d_128kB_L1i_64kB_L2_1MB,1.2647058823529411,1.1201576556185293,0.8857060532797674
specbzip,L1d_128kB,1.1470588235294117,1.0177131099068355,0.8872370701751899
specmcf,cl_128_L1i_assoc_4,1.2941176470588236,1.1549276867218812,0.8924441215578173
specbzip,L2_assoc_16,1.1176470588235294,0.9990328774097769,0.8938715218929583
specsjeng,L2_assoc_16,1.1176470588235294,0.9999672861845469,0.8947075718493314
specmcf,L2_assoc_16,1.1176470588235294,0.9999853746476445,0.8947237562636818
speclibm,L2_assoc_16,1.1176470588235294,1.0,0.8947368421052632
spechmmer,L2_assoc_16,1.1176470588235294,1.0,0.8947368421052632
specmcf,cl_256_L2_assoc_4,1.1176470588235294,1.0004759421999774,0.8951626851262955
specbzip,cl_256_L1d_32kB,1.1029411764705883,0.9893842862461064,0.8970417528631364
spechmmer,cl_128_L2_4MB,1.1176470588235294,1.00502462820797,0.8992325620808153
spechmmer,cl_256_L2_assoc_4,1.1176470588235294,1.0068253629231843,0.9008437457733753
specmcf,cl_256_L1d_32kB,1.1029411764705883,0.9964922050706162,0.9034862659306919
specbzip,cl_256_L2_assoc_4,1.1176470588235294,1.0111088637343217,0.9046763517622879
specmcf,L1i_assoc_4,1.2352941176470589,1.1243195291877623,0.9101634283900933
spechmmer,cl_256_L1d_32kB,1.1029411764705883,1.004054533775103,0.9103427772894267
specbzip,cl_128_L2_4MB,1.1176470588235294,1.0187204630806703,0.9114867301248103
spechmmer,cl_256_L1d_assoc_1,1.0588235294117647,0.9652235241733069,0.9115999950525676
spechmmer,cl_256_L1i_16kB,1.1029411764705883,1.0061678672917538,0.9122588663445234
specbzip,cl_256_L1i_16kB,1.1029411764705883,1.010470778976625,0.9161601729388066
specmcf,cl_128_L1i_16kB,0.9852941176470589,0.9062266963651039,0.9197524679526428
specmcf,Cacheline_128,1.0588235294117647,0.9763711412109725,0.9221283000325851
specbzip,cl_256_L1d_assoc_1,1.0588235294117647,0.9812581532962832,0.9267438114464897
specmcf,cl_256_L1i_assoc_1,1.0588235294117647,0.9863994648471877,0.9315994945778995
