Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng/L1i_64kB	0.513524	10.270481	0.121831	0.000019	0.999979
specsjeng/L1i_assoc_1	0.513536	10.270716	0.121831	0.000022	0.999962
specsjeng/L1i_assoc_4	0.513533	10.270653	0.121831	0.000020	0.999976
specsjeng/L1i_assoc_8	0.513526	10.270525	0.121831	0.000019	0.999978
specsjeng/L2_1MB	0.513664	10.273271	0.121831	0.000020	0.999972
specsjeng/L2_4MB	0.513271	10.265417	0.121831	0.000020	0.999972
specsjeng/L2_assoc_16	0.513545	10.270890	0.121831	0.000020	0.999972
specsjeng/L2_assoc_2	0.513507	10.270140	0.121831	0.000020	0.999972
specsjeng/L2_assoc_32	0.513283	10.265663	0.121831	0.000020	0.999972
specsjeng/L2_assoc_4	0.513526	10.270525	0.121831	0.000020	0.999972
specsjeng/L2_assoc_64	0.513214	10.264288	0.121831	0.000020	0.999972
